Date,MarketReturn
Y2005M1,-2.76
Y2005M2,1.89
Y2005M3,-1.97
Y2005M4,-2.61
Y2005M5,3.65
Y2005M6,0.57
Y2005M7,3.92
Y2005M8,-1.22
Y2005M9,0.49
Y2005M10,-2.02
Y2005M11,3.61
Y2005M12,-0.25
Y2006M1,3.04
Y2006M2,-0.3
Y2006M3,1.46
Y2006M4,0.73
Y2006M5,-3.57
Y2006M6,-0.35
Y2006M7,-0.78
Y2006M8,2.03
Y2006M9,1.84
Y2006M10,3.23
Y2006M11,1.71
Y2006M12,0.87
Y2007M1,1.4
Y2007M2,-1.96
Y2007M3,0.68
Y2007M4,3.49
Y2007M5,3.24
Y2007M6,-1.96
Y2007M7,-3.73
Y2007M8,0.92
Y2007M9,3.22
Y2007M10,1.8
Y2007M11,-4.83
Y2007M12,-0.87
Y2008M1,-6.36
Y2008M2,-3.09
Y2008M3,-0.93
Y2008M4,4.6
Y2008M5,1.86
Y2008M6,-8.44
Y2008M7,-0.77
Y2008M8,1.53
Y2008M9,-9.24
Y2008M10,-17.23
Y2008M11,-7.86
Y2008M12,1.74
Y2009M1,-8.12
Y2009M2,-10.1
Y2009M3,8.95
Y2009M4,10.18
Y2009M5,5.21
Y2009M6,0.43
Y2009M7,7.72
Y2009M8,3.33
Y2009M9,4.08
Y2009M10,-2.59
Y2009M11,5.56
Y2009M12,2.75
Y2010M1,-3.36
Y2010M2,3.4
Y2010M3,6.31
Y2010M4,2
Y2010M5,-7.89
Y2010M6,-5.57
Y2010M7,6.93
Y2010M8,-4.77
Y2010M9,9.54
Y2010M10,3.88
Y2010M11,0.6
Y2010M12,6.82
Y2011M1,1.99
Y2011M2,3.49
Y2011M3,0.46
Y2011M4,2.9
Y2011M5,-1.27
Y2011M6,-1.75
Y2011M7,-2.35
Y2011M8,-5.99
Y2011M9,-7.59
Y2011M10,11.35
Y2011M11,-0.28
Y2011M12,0.74
Y2012M1,5.05
Y2012M2,4.42
Y2012M3,3.11
Y2012M4,-0.85
Y2012M5,-6.19
Y2012M6,3.89
Y2012M7,0.79
Y2012M8,2.55
Y2012M9,2.73
Y2012M10,-1.76
Y2012M11,0.78
Y2012M12,1.18
Y2013M1,5.57
Y2013M2,1.29
Y2013M3,4.03
Y2013M4,1.55
Y2013M5,2.8
Y2013M6,-1.2
Y2013M7,5.65
Y2013M8,-2.71
Y2013M9,3.77
Y2013M10,4.18
Y2013M11,3.13
Y2013M12,2.81
Y2014M1,-3.32
Y2014M2,4.65
Y2014M3,0.43
Y2014M4,-0.19
Y2014M5,2.06
Y2014M6,2.61
Y2014M7,-2.04
Y2014M8,4.24
Y2014M9,-1.97
Y2014M10,2.52
Y2014M11,2.55
Y2014M12,-0.06
Y2015M1,-3.11
Y2015M2,6.13
Y2015M3,-1.12
Y2015M4,0.59
Y2015M5,1.36
Y2015M6,-1.53
Y2015M7,1.54
Y2015M8,-6.04
Y2015M9,-3.07
Y2015M10,7.75
Y2015M11,0.56
Y2015M12,-2.17
Y2016M1,-5.77
Y2016M2,-0.07
Y2016M3,6.96
Y2016M4,0.91
Y2016M5,1.78
Y2016M6,-0.05
Y2016M7,3.95
Y2016M8,0.49
Y2016M9,0.25
Y2016M10,-2.02
Y2016M11,4.86
Y2016M12,1.81
Y2017M1,1.94
Y2017M2,3.57
Y2017M3,0.17
Y2017M4,1.09
Y2017M5,1.06
Y2017M6,0.78
Y2017M7,1.87
Y2017M8,0.16
Y2017M9,2.51
Y2017M10,2.25
Y2017M11,3.12
Y2017M12,1.06
Y2018M1,5.57
Y2018M2,-3.65
Y2018M3,-2.35
Y2018M4,0.28
Y2018M5,2.65
Y2018M6,0.48
Y2018M7,3.19
Y2018M8,3.44
Y2018M9,0.06
Y2018M10,-7.68
Y2018M11,1.69
Y2018M12,-9.57
Y2019M1,8.4
Y2019M2,3.4
Y2019M3,1.1
Y2019M4,3.97
Y2019M5,-6.94
Y2019M6,6.93
Y2019M7,1.19
Y2019M8,-2.58
Y2019M9,1.43
Y2019M10,2.06
Y2019M11,3.87
Y2019M12,2.77
